id,difficulty,song,correct_character,other_characters,spotify_uri,youtube_id
92,medium,A Way of Life,last_samurai_tc,collateral_tc;edge_of_tmrw_tc;good_men_tc;maverick_tc;vampire_tc;risky_business_tc;,36c1aa7d3169425e,Vp6_Rjxs9U8
93,medium,Returns a King,leonidas,maximus;william_wallace;aragorn;conan;boromir,433d98818896406a,N5wBTBCRsmQ
94,medium,Get Back,les_grossman_tc,rain_man_tc;risky_business_tc;tony_stark;maverick_tc;jerry_maguire_tc,f277205e890740d3,ELPbTvc-3J0
95,medium,I'm Still Here,long_john_silver,jack_sparrow;blackbeard;hook;moses;captain_phillips_hanks,5b93949e3d2145aa,MUZwblurraA
96,easy,Star Wars Theme,luke_skywalker,indiana_jones;optimus_prime;neytiri;eleven;ethan_hunt_tc,72f675c015344bef,HrIJT_4Txqw
97,medium,The Mandalorian Theme,mandalorian,voldemort;gandalf;boromir;black_adam;darth_vader,61135cc40a924d97,xXp4GnC1Z3Q
98,medium,America,maria_west_side_story,anastasia;glinda;rose;esmeralda;simone,ef9c69e8bc8d41f7,_Tihl3pzWRc
99,easy,Johnny B. Goode,marty_mcfly,marv;axel_foley;truckdriver;indiana_jones;forrest_gump_hanks,8681f16c4fda4416,eINKTGikDXg
100,easy,Carol of the Bells,marv,meeko;rafiki;john_mcclane;chief_brody;les_grossman_tc,23810feeab5a45ee,5zSfb5vmkPc
101,easy,Spider-Man Theme,mary_jane,jasmine;ariel;sarah_connor;mulan;maria_west_side_story,0b7b8956fda14964,tbhdL8VLhwI
102,medium,You're Welcome,maui,voldemort;aladdin;mushu;donkey;gandalf,0b1b4eb4215f48ef,CTvjhbfrgEY
103,medium,Danger Zone,maverick_tc,les_grossman_tc;good_men_tc;ethan_hunt_tc;rain_man_tc;jerry_maguire_tc,89a0240e1c524f97,9ID4RAqCqnQ
1,easy,Now We Are Free,maximus,leonidas;william_wallace;aragorn;boromir;conan,619068248c2249d9,ghxzLw2wRis
105,easy,Colors of the Wind,meeko,abu;mushu;rafiki;donkey;philoctetes,3108547ffedc499f,hcmpj5HPue0
106,medium,Autobots,megatron,mandalorian;terminator;doctor_doom;thanos;darth_vader,dfd453943ba9423c,w581xiVe0Q8
107,medium,Sunflower,miles_morales,spiderman;static_shock;blue_beetle;black_adam;doctor_strange,ac8bd114f61d48bb,r7Rn4ryE_w8
108,medium,The Matrix Theme,morpheus,maverick_tc;gandalf;doctor_strange;rick_sanchez;tony_stark,8d850016889f4af4,dzEtP6fpbOo
109,medium,When You Believe,moses,pocahontas;gandalf;aslan;dumbledore;rasputin,07e9e49c83d94e85,-vA9b8UDzy8
110,medium,Symphony No. 40,mozart,beethoven;bach;chopin;schubert;grieg,d6a67107084e483c,S3cRXCPF0XE
111,medium,Circle of Life,mufasa,aslan;spirit;bagheera;patrick;meeko,5ba4fa6da7a14eab,BM-khAJP2cU
112,easy,I'll Make a Man Out of You,mulan,pocahontas;jasmine;ariel;elsa;anastasia,ce5f9642799840dd,elBKil5zE2g
113,easy,I'll Make a Man Out of You,mushu,donkey;abu;meeko;rafiki;philoctetes,ce5f9642799840dd,elBKil5zE2g
114,medium,Nate's Theme,nathan_drake,indiana_jones;ethan_hunt_tc;james_bond;jason_bourne;john_mcclane,e297edcd3f944ffc,h_b5WdaP1fI
115,medium,Pandora,neytiri,pocahontas;mulan;jasmine;ariel;anastasia,6880e23f2b734dcd,qGV7o3wiadg
116,medium,Can You Hear The Music,oppenheimer,sherlock_holmes;schindler;doc_brown;boromir;beethoven,82d56858236d4112,4JZ-o3iAJv4
117,medium,Transformers Theme (Autobots),optimus_prime,blue_beetle;terminator;tony_stark;buzz_lightyear;doctor_doom,aa5dd3bc39664e33,w581xiVe0Q8
118,medium,I'm So Happy,ove,forrest_gump_hanks;rick_sanchez;doc_brown;marty_mcfly;sheldon,f00a0c4eb7d647d0,8Gmp6EVHEO0
119,easy,People Get Up And Drive Your Funky Sould - Remix,parker.webm,miles_morales;static_shock;blue_beetle;black_adam;green_goblin,508a838fc4b64c27,Nl-RVIdTUVI
120,easy,SpongeBob SquarePants Theme,patrick,charlie_brown;kevin_mccallister;lucas;cynthia;perry,a7561f0b3e504c9b,ehu9-GDSrck
121,medium,Beverly,pennywise,joker;beetlejuice;jack_skellington;phantom;voldemort,c258c51c635d4f62,jQyMa-oVTCI
122,easy,Ain't Got Rhythm,perry,patrick;charlie_brown;kevin_mccallister;lucas;cynthia,3f8b7c966f33436a,1NpgW2qkD34
123,medium,The Phantom of the Opera,phantom,jack_skellington;beetlejuice;pennywise;voldemort;joker,59fd1140581c479a,-DvVAsGdnBQ
